"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","s__Methanobrevibacter_smithii","Status","TS",-43.7323008310924,32.9207315175642,0.188759573776195,"StatusTS",0.782304466509809,66,7
"2","s__Bifidobacterium_adolescentis","Status","TS",-2753.54115929821,1420.00873461206,0.0569002939345885,"StatusTS",0.782304466509809,66,66
"3","s__Bifidobacterium_animalis","Status","TS",74.4371995103932,64.9073820048298,0.255724728257677,"StatusTS",0.782304466509809,66,12
"4","s__Bifidobacterium_bifidum","Status","TS",-217.913931522174,215.857596448126,0.316523867686654,"StatusTS",0.782304466509809,66,31
"5","s__Bifidobacterium_catenulatum","Status","TS",-919.159101510158,827.383511861443,0.270757880538682,"StatusTS",0.782304466509809,66,17
"6","s__Bifidobacterium_longum","Status","TS",-1819.08929817822,1742.12584155266,0.300331145284738,"StatusTS",0.782304466509809,66,66
"7","s__Collinsella_aerofaciens","Status","TS",-652.729258830443,482.330372566548,0.180726188899022,"StatusTS",0.782304466509809,66,60
"8","s__Asaccharobacter_celatus","Status","TS",-33.348388515394,29.5680908693268,0.263593539475245,"StatusTS",0.782304466509809,66,59
"9","s__Enterorhabdus_caecimuris","Status","TS",-0.137391074214235,0.134910732357308,0.312329394629144,"StatusTS",0.782304466509809,66,13
"10","s__Bacteroides_dorei","Status","TS",-227.062036891126,240.557142607793,0.348770220157126,"StatusTS",0.782304466509809,66,33
"11","s__Bacteroides_eggerthii","Status","TS",139.343982527559,152.458284996364,0.364157364047436,"StatusTS",0.782304466509809,66,8
"12","s__Bacteroides_faecis","Status","TS",191.098304822388,147.7443087864,0.200508167449136,"StatusTS",0.782304466509809,66,14
"13","s__Bacteroides_fragilis","Status","TS",-546.371398515488,589.7442026041,0.357690188925177,"StatusTS",0.782304466509809,66,47
"14","s__Bacteroides_massiliensis","Status","TS",13.6657297083028,13.0524426753275,0.299043940121129,"StatusTS",0.782304466509809,66,9
"15","s__Bacteroides_stercoris","Status","TS",-190.557809160719,168.549273498115,0.262452583465402,"StatusTS",0.782304466509809,66,20
"16","s__Bacteroides_uniformis","Status","TS",-368.052153154429,426.291798831113,0.391152233254904,"StatusTS",0.782304466509809,66,66
"17","s__Bacteroides_vulgatus","Status","TS",695.759991784581,438.161796018321,0.117236066136786,"StatusTS",0.782304466509809,66,65
"18","s__Parabacteroides_distasonis","Status","TS",158.157655261462,96.4462540863551,0.105942403614962,"StatusTS",0.782304466509809,66,50
"19","s__Parabacteroides_goldsteinii","Status","TS",-170.439321548818,163.48078917775,0.301072164249201,"StatusTS",0.782304466509809,66,8
"20","s__Lactobacillus_rogosae","Status","TS",-1.30434919104332,0.822070768140169,0.117517877777697,"StatusTS",0.782304466509809,66,11
"21","s__Streptococcus_parasanguinis","Status","TS",-3.96902509535139,1.79957576019407,0.0310151898177239,"StatusTS",0.782304466509809,66,21
"22","s__Streptococcus_salivarius","Status","TS",-14.9955228620789,13.5000251860666,0.270819949468812,"StatusTS",0.782304466509809,66,48
"23","s__Catabacter_hongkongensis","Status","TS",-0.552281428993765,0.635960461794386,0.388408787973434,"StatusTS",0.782304466509809,66,7
"24","s__Christensenella_minuta","Status","TS",8.15319103600083,4.91758019899952,0.10221797640326,"StatusTS",0.782304466509809,66,10
"25","s__Clostridium_disporicum","Status","TS",-21.6437476679054,19.0359283814826,0.259779716329781,"StatusTS",0.782304466509809,66,18
"26","s__Hungatella_hathewayi","Status","TS",-128.623473088498,109.873610355104,0.246080250284117,"StatusTS",0.782304466509809,66,20
"27","s__Intestinimonas_butyriciproducens","Status","TS",7.53996404727317,4.90924260837545,0.12949932826519,"StatusTS",0.782304466509809,66,11
"28","s__Monoglobus_pectinilyticus","Status","TS",309.447319821291,305.975839110561,0.315659403889999,"StatusTS",0.782304466509809,66,41
"29","s__Eubacterium_eligens","Status","TS",-30.8751427691568,16.2644940704112,0.0621655294738899,"StatusTS",0.782304466509809,66,34
"30","s__Eubacterium_sp_CAG_251","Status","TS",-13.5367949990553,15.1360993966231,0.374491913305456,"StatusTS",0.782304466509809,66,7
"31","s__Eubacterium_sp_CAG_274","Status","TS",25.7067442203514,16.7587412005104,0.129975703595731,"StatusTS",0.782304466509809,66,17
"32","s__Eubacterium_sp_CAG_38","Status","TS",-10.4955393425318,4.53416724883045,0.0238451631513759,"StatusTS",0.782304466509809,66,22
"33","s__Eubacterium_ventriosum","Status","TS",-43.1276276827555,33.7313215819512,0.205668050898896,"StatusTS",0.782304466509809,66,32
"34","s__Anaerostipes_hadrus","Status","TS",1056.82319418632,856.50446244436,0.221759870861437,"StatusTS",0.782304466509809,66,66
"35","s__Blautia_wexlerae","Status","TS",1100.25265134467,902.376797396335,0.227211534220223,"StatusTS",0.782304466509809,66,66
"36","s__Ruminococcus_gnavus","Status","TS",776.169900008687,520.868885327401,0.141098373090423,"StatusTS",0.782304466509809,66,52
"37","s__Coprococcus_catus","Status","TS",-124.119870689506,67.8302828294366,0.0719289015670566,"StatusTS",0.782304466509809,66,54
"38","s__Eisenbergiella_massiliensis","Status","TS",80.3708219911552,85.4026098740297,0.350201718610014,"StatusTS",0.782304466509809,66,9
"39","s__Fusicatenibacter_saccharivorans","Status","TS",1657.98749248301,1161.01728627457,0.158140139186762,"StatusTS",0.782304466509809,66,66
"40","s__Clostridium_bolteae","Status","TS",26.2031891844939,17.1854154081003,0.132252122719815,"StatusTS",0.782304466509809,66,12
"41","s__Clostridium_scindens","Status","TS",7.55430597605766,8.58767414383296,0.382330074749715,"StatusTS",0.782304466509809,66,10
"42","s__Eubacterium_rectale","Status","TS",-1831.33994428329,1263.44491826023,0.15208588825374,"StatusTS",0.782304466509809,66,66
"43","s__Roseburia_faecis","Status","TS",-535.383696977265,309.419866831495,0.0883995739618139,"StatusTS",0.782304466509809,66,60
"44","s__Roseburia_hominis","Status","TS",-199.186156528751,136.300551239091,0.148805364095317,"StatusTS",0.782304466509809,66,59
"45","s__Oscillibacter_sp_57_20","Status","TS",-10.9944821311608,8.9486580183255,0.223713807521745,"StatusTS",0.782304466509809,66,45
"46","s__Oscillibacter_sp_CAG_241","Status","TS",-19.5323432672451,9.98488822539661,0.0548098149931101,"StatusTS",0.782304466509809,66,28
"47","s__Agathobaculum_butyriciproducens","Status","TS",25.3554456869109,23.6323999004484,0.287340287847714,"StatusTS",0.782304466509809,66,51
"48","s__Anaerotruncus_colihominis","Status","TS",8.87571530989531,6.44887545287523,0.173519219529226,"StatusTS",0.782304466509809,66,23
"49","s__Faecalibacterium_prausnitzii","Status","TS",-531.038637972805,393.92109348394,0.182383590538331,"StatusTS",0.782304466509809,66,66
"50","s__Flavonifractor_plautii","Status","TS",86.2285262859746,41.4364157896462,0.0414420361413435,"StatusTS",0.782304466509809,66,46
"51","s__Eubacterium_siraeum","Status","TS",-59.7359304867009,47.4947737488235,0.213056789009229,"StatusTS",0.782304466509809,66,34
"52","s__Ruminococcus_bicirculans","Status","TS",-205.464413321307,91.5812511380107,0.0283313447853075,"StatusTS",0.782304466509809,66,39
"53","s__Ruminococcus_bromii","Status","TS",-430.098190998523,270.319580006613,0.116521002633169,"StatusTS",0.782304466509809,66,62
"54","s__Ruminococcus_callidus","Status","TS",-7.51318086500439,3.77458658927525,0.0508141252069512,"StatusTS",0.782304466509809,66,17
"55","s__Ruminococcus_lactaris","Status","TS",151.210923826542,166.022346138175,0.365825528352586,"StatusTS",0.782304466509809,66,41
"56","s__Coprobacillus_cateniformis","Status","TS",-57.9883616447288,44.3392636239783,0.195608225705988,"StatusTS",0.782304466509809,66,10
"57","s__Clostridium_spiroforme","Status","TS",5.87320077752217,5.89463409167445,0.322825655618889,"StatusTS",0.782304466509809,66,28
"58","s__Holdemania_filiformis","Status","TS",7.06587839323219,4.99420767608786,0.161970013116279,"StatusTS",0.782304466509809,66,19
"59","s__Firmicutes_bacterium_CAG_83","Status","TS",-19.9735672908197,22.0147762738337,0.367662259408874,"StatusTS",0.782304466509809,66,49
"60","s__Bilophila_wadsworthia","Status","TS",2.23624596392107,2.37035673040859,0.349013148409219,"StatusTS",0.782304466509809,66,22
