feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Methanobrevibacter_smithii	Status	TS	-43.7323008310924	32.9207315175642	66	7	0.188759573776195	0.782304466509809
s__Bifidobacterium_adolescentis	Status	TS	-2753.54115929821	1420.00873461206	66	66	0.0569002939345885	0.782304466509809
s__Bifidobacterium_animalis	Status	TS	74.4371995103932	64.9073820048298	66	12	0.255724728257677	0.782304466509809
s__Bifidobacterium_bifidum	Status	TS	-217.913931522174	215.857596448126	66	31	0.316523867686654	0.782304466509809
s__Bifidobacterium_catenulatum	Status	TS	-919.159101510158	827.383511861443	66	17	0.270757880538682	0.782304466509809
s__Bifidobacterium_longum	Status	TS	-1819.08929817822	1742.12584155266	66	66	0.300331145284738	0.782304466509809
s__Collinsella_aerofaciens	Status	TS	-652.729258830443	482.330372566548	66	60	0.180726188899022	0.782304466509809
s__Asaccharobacter_celatus	Status	TS	-33.348388515394	29.5680908693268	66	59	0.263593539475245	0.782304466509809
s__Enterorhabdus_caecimuris	Status	TS	-0.137391074214235	0.134910732357308	66	13	0.312329394629144	0.782304466509809
s__Bacteroides_dorei	Status	TS	-227.062036891126	240.557142607793	66	33	0.348770220157126	0.782304466509809
s__Bacteroides_eggerthii	Status	TS	139.343982527559	152.458284996364	66	8	0.364157364047436	0.782304466509809
s__Bacteroides_faecis	Status	TS	191.098304822388	147.7443087864	66	14	0.200508167449136	0.782304466509809
s__Bacteroides_fragilis	Status	TS	-546.371398515488	589.7442026041	66	47	0.357690188925177	0.782304466509809
s__Bacteroides_massiliensis	Status	TS	13.6657297083028	13.0524426753275	66	9	0.299043940121129	0.782304466509809
s__Bacteroides_stercoris	Status	TS	-190.557809160719	168.549273498115	66	20	0.262452583465402	0.782304466509809
s__Bacteroides_uniformis	Status	TS	-368.052153154429	426.291798831113	66	66	0.391152233254904	0.782304466509809
s__Bacteroides_vulgatus	Status	TS	695.759991784581	438.161796018321	66	65	0.117236066136786	0.782304466509809
s__Parabacteroides_distasonis	Status	TS	158.157655261462	96.4462540863551	66	50	0.105942403614962	0.782304466509809
s__Parabacteroides_goldsteinii	Status	TS	-170.439321548818	163.48078917775	66	8	0.301072164249201	0.782304466509809
s__Lactobacillus_rogosae	Status	TS	-1.30434919104332	0.822070768140169	66	11	0.117517877777697	0.782304466509809
s__Streptococcus_parasanguinis	Status	TS	-3.96902509535139	1.79957576019407	66	21	0.0310151898177239	0.782304466509809
s__Streptococcus_salivarius	Status	TS	-14.9955228620789	13.5000251860666	66	48	0.270819949468812	0.782304466509809
s__Catabacter_hongkongensis	Status	TS	-0.552281428993765	0.635960461794386	66	7	0.388408787973434	0.782304466509809
s__Christensenella_minuta	Status	TS	8.15319103600083	4.91758019899952	66	10	0.10221797640326	0.782304466509809
s__Clostridium_disporicum	Status	TS	-21.6437476679054	19.0359283814826	66	18	0.259779716329781	0.782304466509809
s__Hungatella_hathewayi	Status	TS	-128.623473088498	109.873610355104	66	20	0.246080250284117	0.782304466509809
s__Intestinimonas_butyriciproducens	Status	TS	7.53996404727317	4.90924260837545	66	11	0.12949932826519	0.782304466509809
s__Monoglobus_pectinilyticus	Status	TS	309.447319821291	305.975839110561	66	41	0.315659403889999	0.782304466509809
s__Eubacterium_eligens	Status	TS	-30.8751427691568	16.2644940704112	66	34	0.0621655294738899	0.782304466509809
s__Eubacterium_sp_CAG_251	Status	TS	-13.5367949990553	15.1360993966231	66	7	0.374491913305456	0.782304466509809
s__Eubacterium_sp_CAG_274	Status	TS	25.7067442203514	16.7587412005104	66	17	0.129975703595731	0.782304466509809
s__Eubacterium_sp_CAG_38	Status	TS	-10.4955393425318	4.53416724883045	66	22	0.0238451631513759	0.782304466509809
