"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","s__Methanobrevibacter_smithii",0,FALSE,FALSE,FALSE,FALSE
"2","s__Bifidobacterium_adolescentis",0,FALSE,FALSE,FALSE,FALSE
"3","s__Bifidobacterium_animalis",0,FALSE,FALSE,FALSE,FALSE
"4","s__Bifidobacterium_bifidum",0,FALSE,FALSE,FALSE,FALSE
"5","s__Bifidobacterium_catenulatum",2,FALSE,FALSE,FALSE,FALSE
"6","s__Bifidobacterium_longum",0,FALSE,FALSE,FALSE,FALSE
"7","s__Bifidobacterium_pseudocatenulatum",0,FALSE,FALSE,FALSE,FALSE
"8","s__Collinsella_aerofaciens",0,FALSE,FALSE,FALSE,FALSE
"9","s__Collinsella_stercoris",0,FALSE,FALSE,FALSE,FALSE
"10","s__Adlercreutzia_equolifaciens",0,FALSE,FALSE,FALSE,FALSE
"11","s__Asaccharobacter_celatus",0,FALSE,FALSE,FALSE,FALSE
"12","s__Eggerthella_lenta",0,FALSE,FALSE,FALSE,FALSE
"13","s__Gordonibacter_pamelaeae",0,FALSE,FALSE,FALSE,FALSE
"14","s__Bacteroides_caccae",0,FALSE,FALSE,FALSE,FALSE
"15","s__Bacteroides_cellulosilyticus",0,FALSE,FALSE,FALSE,FALSE
"16","s__Bacteroides_dorei",0,FALSE,FALSE,FALSE,FALSE
"17","s__Bacteroides_eggerthii",0,FALSE,FALSE,FALSE,FALSE
"18","s__Bacteroides_faecis",0,FALSE,FALSE,FALSE,FALSE
"19","s__Bacteroides_fragilis",0,FALSE,FALSE,FALSE,FALSE
"20","s__Bacteroides_intestinalis",0,FALSE,FALSE,FALSE,FALSE
"21","s__Bacteroides_massiliensis",0,FALSE,FALSE,FALSE,FALSE
"22","s__Bacteroides_ovatus",0,FALSE,FALSE,FALSE,FALSE
"23","s__Bacteroides_stercoris",0,FALSE,FALSE,FALSE,FALSE
"24","s__Bacteroides_thetaiotaomicron",0,FALSE,FALSE,FALSE,FALSE
