"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","s__Methanobrevibacter_smithii","Status","TS",-40.9641584546116,30.5248730097743,0.184340111502874,"StatusTS",0.794226998549037,66,7
"2","s__Bifidobacterium_adolescentis","Status","TS",-2735.46248673536,1420.22751650294,0.0585392905214604,"StatusTS",0.794226998549037,66,66
"3","s__Bifidobacterium_animalis","Status","TS",74.4649655724506,64.9138444175561,0.25559608659267,"StatusTS",0.794226998549037,66,12
"4","s__Bifidobacterium_bifidum","Status","TS",-217.872270939662,215.862714303116,0.316627053600761,"StatusTS",0.794226998549037,66,31
"5","s__Bifidobacterium_catenulatum","Status","TS",-919.190550883737,827.384795189481,0.270742377989105,"StatusTS",0.794226998549037,66,17
"6","s__Bifidobacterium_longum","Status","TS",-1807.89910148218,1742.35092799619,0.303351264726668,"StatusTS",0.794226998549037,66,66
"7","s__Collinsella_aerofaciens","Status","TS",-643.705535896248,481.203174098144,0.185728494878515,"StatusTS",0.794226998549037,66,60
"8","s__Asaccharobacter_celatus","Status","TS",-31.5375592812798,29.3850143069897,0.287187659647849,"StatusTS",0.794226998549037,66,59
"9","s__Bacteroides_dorei","Status","TS",-223.207728498623,240.323626461089,0.356493049417195,"StatusTS",0.794226998549037,66,33
"10","s__Bacteroides_eggerthii","Status","TS",139.337156212583,152.459061654604,0.364183139835702,"StatusTS",0.794226998549037,66,8
"11","s__Bacteroides_faecis","Status","TS",191.096049586368,147.744353484263,0.200513546450227,"StatusTS",0.794226998549037,66,14
"12","s__Bacteroides_fragilis","Status","TS",-543.846994771077,589.823375856589,0.359965134473025,"StatusTS",0.794226998549037,66,47
"13","s__Bacteroides_massiliensis","Status","TS",13.6702062222385,13.0534470628827,0.298923877934092,"StatusTS",0.794226998549037,66,9
"14","s__Bacteroides_stercoris","Status","TS",-177.63315663672,158.010321661723,0.265132584287358,"StatusTS",0.794226998549037,66,20
"15","s__Bacteroides_vulgatus","Status","TS",704.040927639445,438.011462408984,0.112898832402903,"StatusTS",0.794226998549037,66,65
"16","s__Parabacteroides_distasonis","Status","TS",159.186420068339,96.3995129223445,0.103572263543194,"StatusTS",0.794226998549037,66,50
"17","s__Parabacteroides_goldsteinii","Status","TS",-170.926730084253,163.967780980133,0.301129123496849,"StatusTS",0.794226998549037,66,8
"18","s__Lactobacillus_rogosae","Status","TS",-1.30428714150708,0.822075499215834,0.117537070121934,"StatusTS",0.794226998549037,66,11
"19","s__Streptococcus_parasanguinis","Status","TS",-3.92316514934481,1.78925173108254,0.0319764822935776,"StatusTS",0.794226998549037,66,21
"20","s__Streptococcus_salivarius","Status","TS",-14.7042971215015,13.4770196346251,0.279335167032836,"StatusTS",0.794226998549037,66,48
"21","s__Christensenella_minuta","Status","TS",8.15312541239044,4.91758141346548,0.102220763208343,"StatusTS",0.794226998549037,66,10
"22","s__Clostridium_disporicum","Status","TS",-21.5183035354584,19.0343831739378,0.26248592604662,"StatusTS",0.794226998549037,66,18
"23","s__Hungatella_hathewayi","Status","TS",-128.943459964158,110.189607740125,0.246261210307733,"StatusTS",0.794226998549037,66,20
"24","s__Intestinimonas_butyriciproducens","Status","TS",7.56993121079899,4.91080325428193,0.128129007489359,"StatusTS",0.794226998549037,66,11
"25","s__Monoglobus_pectinilyticus","Status","TS",309.682222762141,305.975700726887,0.315294863348933,"StatusTS",0.794226998549037,66,41
"26","s__Eubacterium_eligens","Status","TS",-30.5754715857085,16.264377356645,0.0646742700479538,"StatusTS",0.794226998549037,66,34
"27","s__Eubacterium_sp_CAG_251","Status","TS",-13.5362162211814,15.1361419017496,0.374513544031253,"StatusTS",0.794226998549037,66,7
"28","s__Eubacterium_sp_CAG_274","Status","TS",25.8387172974146,16.7475092430071,0.127800236414035,"StatusTS",0.794226998549037,66,17
"29","s__Eubacterium_sp_CAG_38","Status","TS",-10.4669415827234,4.53486828361447,0.024236276230124,"StatusTS",0.794226998549037,66,22
"30","s__Eubacterium_ventriosum","Status","TS",-43.1181228137577,33.7317965654617,0.205773037987125,"StatusTS",0.794226998549037,66,32
"31","s__Anaerostipes_hadrus","Status","TS",1074.52748677495,857.215042934547,0.214580130018325,"StatusTS",0.794226998549037,66,66
"32","s__Blautia_wexlerae","Status","TS",1102.82245354481,902.395156992108,0.226149622330076,"StatusTS",0.794226998549037,66,66
"33","s__Ruminococcus_gnavus","Status","TS",776.306486268745,520.868981174041,0.141029670606638,"StatusTS",0.794226998549037,66,52
"34","s__Coprococcus_catus","Status","TS",-122.053323229672,67.8115971502191,0.0765916487804718,"StatusTS",0.794226998549037,66,54
"35","s__Eisenbergiella_massiliensis","Status","TS",80.3725775415707,85.4025906060345,0.350191158571496,"StatusTS",0.794226998549037,66,9
"36","s__Fusicatenibacter_saccharivorans","Status","TS",1689.5638605201,1160.09993729607,0.150172073314654,"StatusTS",0.794226998549037,66,66
"37","s__Clostridium_bolteae","Status","TS",26.2036445726115,17.1854063110497,0.132245317139855,"StatusTS",0.794226998549037,66,12
"38","s__Eubacterium_rectale","Status","TS",-1817.09478641306,1263.41592335366,0.155238322084792,"StatusTS",0.794226998549037,66,66
"39","s__Roseburia_faecis","Status","TS",-533.031077924281,309.553394820392,0.0899113703774055,"StatusTS",0.794226998549037,66,60
"40","s__Roseburia_hominis","Status","TS",-195.862650510543,136.187594203396,0.155254382583488,"StatusTS",0.794226998549037,66,59
"41","s__Oscillibacter_sp_57_20","Status","TS",-10.7582075467796,8.9474218424054,0.233645834287075,"StatusTS",0.794226998549037,66,45
"42","s__Oscillibacter_sp_CAG_241","Status","TS",-19.2684833168754,9.92963605606248,0.0567264029263879,"StatusTS",0.794226998549037,66,28
"43","s__Agathobaculum_butyriciproducens","Status","TS",25.8802573226835,23.6138849941678,0.277196225583443,"StatusTS",0.794226998549037,66,51
"44","s__Anaerotruncus_colihominis","Status","TS",8.87556475814439,6.44954849849368,0.173570651530316,"StatusTS",0.794226998549037,66,23
"45","s__Faecalibacterium_prausnitzii","Status","TS",-514.363529128297,393.165003264518,0.195463052520548,"StatusTS",0.794226998549037,66,66
"46","s__Flavonifractor_plautii","Status","TS",86.5801706097602,41.4352952894448,0.0406402631316062,"StatusTS",0.794226998549037,66,46
"47","s__Eubacterium_siraeum","Status","TS",-59.1430102329896,47.4872915533275,0.217507231691466,"StatusTS",0.794226998549037,66,34
"48","s__Ruminococcus_bicirculans","Status","TS",-203.681744259668,91.3583707258357,0.0292984378251095,"StatusTS",0.794226998549037,66,39
