feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Methanobrevibacter_smithii	Status	TS	-40.9641584546116	30.5248730097743	66	7	0.184340111502874	0.794226998549037
s__Bifidobacterium_adolescentis	Status	TS	-2735.46248673536	1420.22751650294	66	66	0.0585392905214604	0.794226998549037
s__Bifidobacterium_animalis	Status	TS	74.4649655724506	64.9138444175561	66	12	0.25559608659267	0.794226998549037
s__Bifidobacterium_bifidum	Status	TS	-217.872270939662	215.862714303116	66	31	0.316627053600761	0.794226998549037
s__Bifidobacterium_catenulatum	Status	TS	-919.190550883737	827.384795189481	66	17	0.270742377989105	0.794226998549037
s__Bifidobacterium_longum	Status	TS	-1807.89910148218	1742.35092799619	66	66	0.303351264726668	0.794226998549037
s__Collinsella_aerofaciens	Status	TS	-643.705535896248	481.203174098144	66	60	0.185728494878515	0.794226998549037
s__Asaccharobacter_celatus	Status	TS	-31.5375592812798	29.3850143069897	66	59	0.287187659647849	0.794226998549037
s__Bacteroides_dorei	Status	TS	-223.207728498623	240.323626461089	66	33	0.356493049417195	0.794226998549037
s__Bacteroides_eggerthii	Status	TS	139.337156212583	152.459061654604	66	8	0.364183139835702	0.794226998549037
s__Bacteroides_faecis	Status	TS	191.096049586368	147.744353484263	66	14	0.200513546450227	0.794226998549037
s__Bacteroides_fragilis	Status	TS	-543.846994771077	589.823375856589	66	47	0.359965134473025	0.794226998549037
s__Bacteroides_massiliensis	Status	TS	13.6702062222385	13.0534470628827	66	9	0.298923877934092	0.794226998549037
s__Bacteroides_stercoris	Status	TS	-177.63315663672	158.010321661723	66	20	0.265132584287358	0.794226998549037
s__Bacteroides_vulgatus	Status	TS	704.040927639445	438.011462408984	66	65	0.112898832402903	0.794226998549037
s__Parabacteroides_distasonis	Status	TS	159.186420068339	96.3995129223445	66	50	0.103572263543194	0.794226998549037
s__Parabacteroides_goldsteinii	Status	TS	-170.926730084253	163.967780980133	66	8	0.301129123496849	0.794226998549037
s__Lactobacillus_rogosae	Status	TS	-1.30428714150708	0.822075499215834	66	11	0.117537070121934	0.794226998549037
s__Streptococcus_parasanguinis	Status	TS	-3.92316514934481	1.78925173108254	66	21	0.0319764822935776	0.794226998549037
s__Streptococcus_salivarius	Status	TS	-14.7042971215015	13.4770196346251	66	48	0.279335167032836	0.794226998549037
s__Christensenella_minuta	Status	TS	8.15312541239044	4.91758141346548	66	10	0.102220763208343	0.794226998549037
s__Clostridium_disporicum	Status	TS	-21.5183035354584	19.0343831739378	66	18	0.26248592604662	0.794226998549037
s__Hungatella_hathewayi	Status	TS	-128.943459964158	110.189607740125	66	20	0.246261210307733	0.794226998549037
s__Intestinimonas_butyriciproducens	Status	TS	7.56993121079899	4.91080325428193	66	11	0.128129007489359	0.794226998549037
s__Monoglobus_pectinilyticus	Status	TS	309.682222762141	305.975700726887	66	41	0.315294863348933	0.794226998549037
s__Eubacterium_eligens	Status	TS	-30.5754715857085	16.264377356645	66	34	0.0646742700479538	0.794226998549037
s__Eubacterium_sp_CAG_251	Status	TS	-13.5362162211814	15.1361419017496	66	7	0.374513544031253	0.794226998549037
s__Eubacterium_sp_CAG_274	Status	TS	25.8387172974146	16.7475092430071	66	17	0.127800236414035	0.794226998549037
s__Eubacterium_sp_CAG_38	Status	TS	-10.4669415827234	4.53486828361447	66	22	0.024236276230124	0.794226998549037
s__Eubacterium_ventriosum	Status	TS	-43.1181228137577	33.7317965654617	66	32	0.205773037987125	0.794226998549037
s__Anaerostipes_hadrus	Status	TS	1074.52748677495	857.215042934547	66	66	0.214580130018325	0.794226998549037
s__Blautia_wexlerae	Status	TS	1102.82245354481	902.395156992108	66	66	0.226149622330076	0.794226998549037
s__Ruminococcus_gnavus	Status	TS	776.306486268745	520.868981174041	66	52	0.141029670606638	0.794226998549037
s__Coprococcus_catus	Status	TS	-122.053323229672	67.8115971502191	66	54	0.0765916487804718	0.794226998549037
s__Eisenbergiella_massiliensis	Status	TS	80.3725775415707	85.4025906060345	66	9	0.350191158571496	0.794226998549037
