2022-02-01 16:17:00 INFO::Writing function arguments to log file
2022-02-01 16:17:00 DEBUG::Function arguments
2022-02-01 16:17:00 DEBUG::Output folder: TS/taxa_results/Maaslin2
2022-02-01 16:17:00 DEBUG::Min Abundance: 0.000000
2022-02-01 16:17:00 DEBUG::Min Prevalence: 0.100000
2022-02-01 16:17:00 DEBUG::Normalization: CSS
2022-02-01 16:17:00 DEBUG::Transform: NONE
2022-02-01 16:17:00 DEBUG::Analysis method: LM
2022-02-01 16:17:00 DEBUG::Max significance: 0.250000
2022-02-01 16:17:00 DEBUG::Random effects:
2022-02-01 16:17:00 DEBUG::Fixed effects: Status,Sex
2022-02-01 16:17:00 DEBUG::Correction method: BH
2022-02-01 16:17:00 DEBUG::Standardize: FALSE
2022-02-01 16:17:00 DEBUG::Cores: 1
2022-02-01 16:17:00 INFO::Verifying options selected are valid
2022-02-01 16:17:00 INFO::Determining format of input files
2022-02-01 16:17:00 INFO::Input format is data samples as rows and metadata samples as rows
2022-02-01 16:17:00 DEBUG::A total of 63 samples were found in both the data and metadata
2022-02-01 16:17:00 DEBUG::Reordering data/metadata to use same sample ordering
2022-02-01 16:17:00 INFO::Formula for fixed effects: expr ~  Status + Sex
2022-02-01 16:17:00 INFO::Filter data based on min abundance and min prevalence
2022-02-01 16:17:00 INFO::Total samples in data: 63
2022-02-01 16:17:00 INFO::Min samples required with min abundance for a feature not to be filtered: 6.300000
2022-02-01 16:17:00 INFO::Total filtered features: 3
2022-02-01 16:17:00 INFO::Filtered feature names from abundance and prevalence filtering: s__Catabacter_hongkongensis, s__Eubacterium_sp_CAG_251, s__Erysipelatoclostridium_ramosum
2022-02-01 16:17:00 INFO::Total filtered features with variance filtering: 0
2022-02-01 16:17:00 INFO::Filtered feature names from variance filtering:
2022-02-01 16:17:00 INFO::Running selected normalization method: CSS
2022-02-01 16:17:01 INFO::Bypass z-score application to metadata
2022-02-01 16:17:01 INFO::Running selected transform method: NONE
2022-02-01 16:17:01 INFO::Running selected analysis method: LM
2022-02-01 16:17:01 INFO::Fitting model to feature number 1, s__Methanobrevibacter_smithii
2022-02-01 16:17:01 INFO::Fitting model to feature number 2, s__Bifidobacterium_adolescentis
2022-02-01 16:17:01 INFO::Fitting model to feature number 3, s__Bifidobacterium_animalis
2022-02-01 16:17:01 INFO::Fitting model to feature number 4, s__Bifidobacterium_bifidum
2022-02-01 16:17:01 INFO::Fitting model to feature number 5, s__Bifidobacterium_catenulatum
2022-02-01 16:17:01 INFO::Fitting model to feature number 6, s__Bifidobacterium_longum
2022-02-01 16:17:01 INFO::Fitting model to feature number 7, s__Bifidobacterium_pseudocatenulatum
2022-02-01 16:17:01 INFO::Fitting model to feature number 8, s__Collinsella_aerofaciens
2022-02-01 16:17:01 INFO::Fitting model to feature number 9, s__Collinsella_stercoris
2022-02-01 16:17:01 INFO::Fitting model to feature number 10, s__Adlercreutzia_equolifaciens
2022-02-01 16:17:01 INFO::Fitting model to feature number 11, s__Asaccharobacter_celatus
2022-02-01 16:17:01 INFO::Fitting model to feature number 12, s__Eggerthella_lenta
2022-02-01 16:17:01 INFO::Fitting model to feature number 13, s__Gordonibacter_pamelaeae
2022-02-01 16:17:01 INFO::Fitting model to feature number 14, s__Bacteroides_caccae
2022-02-01 16:17:01 INFO::Fitting model to feature number 15, s__Bacteroides_cellulosilyticus
2022-02-01 16:17:01 INFO::Fitting model to feature number 16, s__Bacteroides_dorei
2022-02-01 16:17:01 INFO::Fitting model to feature number 17, s__Bacteroides_eggerthii
2022-02-01 16:17:01 INFO::Fitting model to feature number 18, s__Bacteroides_faecis
2022-02-01 16:17:01 INFO::Fitting model to feature number 19, s__Bacteroides_fragilis
2022-02-01 16:17:01 INFO::Fitting model to feature number 20, s__Bacteroides_intestinalis
2022-02-01 16:17:01 INFO::Fitting model to feature number 21, s__Bacteroides_massiliensis
2022-02-01 16:17:01 INFO::Fitting model to feature number 22, s__Bacteroides_ovatus
2022-02-01 16:17:01 INFO::Fitting model to feature number 23, s__Bacteroides_stercoris
2022-02-01 16:17:01 INFO::Fitting model to feature number 24, s__Bacteroides_thetaiotaomicron
2022-02-01 16:17:01 INFO::Fitting model to feature number 25, s__Bacteroides_uniformis
2022-02-01 16:17:01 INFO::Fitting model to feature number 26, s__Bacteroides_vulgatus
2022-02-01 16:17:01 INFO::Fitting model to feature number 27, s__Bacteroides_xylanisolvens
2022-02-01 16:17:01 INFO::Fitting model to feature number 28, s__Barnesiella_intestinihominis
2022-02-01 16:17:01 INFO::Fitting model to feature number 29, s__Coprobacter_sp
2022-02-01 16:17:01 INFO::Fitting model to feature number 30, s__Odoribacter_splanchnicus
2022-02-01 16:17:01 INFO::Fitting model to feature number 31, s__Prevotella_copri
2022-02-01 16:17:01 INFO::Fitting model to feature number 32, s__Alistipes_finegoldii
2022-02-01 16:17:01 INFO::Fitting model to feature number 33, s__Alistipes_indistinctus
2022-02-01 16:17:01 INFO::Fitting model to feature number 34, s__Alistipes_putredinis
2022-02-01 16:17:01 INFO::Fitting model to feature number 35, s__Alistipes_shahii
2022-02-01 16:17:01 INFO::Fitting model to feature number 36, s__Parabacteroides_distasonis
2022-02-01 16:17:01 INFO::Fitting model to feature number 37, s__Parabacteroides_goldsteinii
2022-02-01 16:17:01 INFO::Fitting model to feature number 38, s__Parabacteroides_merdae
