"","logFC","logCPM","PValue","FDR"
"s__Christensenella_minuta",5.28258405992691,6.39417572982722,1.00962600202234e-07,1.24183998248748e-05
"s__Clostridium_bolteae",5.81818777975109,9.18838100058155,5.59572059850976e-07,3.4413681680835e-05
"s__Parabacteroides_goldsteinii",-6.05786815283274,11.1861742442505,5.15530356208935e-06,0.000208762091920452
"s__Blautia_wexlerae",2.43850668895364,15.3670409748514,6.7890111193643e-06,0.000208762091920452
"s__Ruminococcus_gnavus",4.06900541963204,14.666980602736,1.07283053572132e-05,0.000263916311787445
"s__Bifidobacterium_catenulatum",-5.26761331360106,13.0539683648027,3.81572343639137e-05,0.000782223304460232
"s__Eubacterium_sp_CAG_274",4.33584336413165,9.64398957896642,8.0371516048602e-05,0.00141224235342544
"s__Flavonifractor_plautii",2.59698249047483,11.8170351707016,0.0018587909294186,0.0285789105398109
"s__Eisenbergiella_massiliensis",3.86629576912923,11.7889308303554,0.00227088569384883,0.031035437815934
"s__Eubacterium_sp_CAG_38",-2.81165959800601,8.06847256536717,0.00257060248779155,0.0316184105998361
"s__Holdemania_filiformis",2.72701568977612,7.82287613811744,0.00440037668748345,0.0475116909434912
"s__Eubacterium_eligens",-2.56312563003218,10.2469993470526,0.00527940628961878,0.0475116909434912
"s__Coprobacillus_cateniformis",-3.12479063825631,9.43098415949122,0.00538433838646852,0.0475116909434912
"s__Methanobrevibacter_smithii",-3.11384855546101,8.78056869515944,0.00540783474153558,0.0475116909434912
"s__Streptococcus_parasanguinis",-2.24314686128313,6.17967444412716,0.00688078962792573,0.056422474948991
"s__Clostridium_scindens",2.72991041395272,7.41128494937948,0.00791219743098565,0.0608250177507022
"s__Eubacterium_siraeum",-2.51482845516374,11.3888615321915,0.00898045386682864,0.064976225036466
"s__Anaerostipes_hadrus",0.971233713690671,16.2596087636983,0.0172796988317213,0.118077942016762
"s__Ruminococcus_callidus",-2.16105642002268,7.2831710274643,0.0200010160816865,0.129480262002497
"s__Ruminococcus_bicirculans",-1.91689135017456,12.0820666829215,0.0321134922509236,0.19749797734318
"s__Fusicatenibacter_saccharivorans",0.85333265636905,17.1090088523187,0.0374245912802072,0.219201177498356
"s__Clostridium_disporicum",-2.08761345307131,9.68762283115053,0.041166226996283,0.230156632751946
"s__Hungatella_hathewayi",-2.1909184460541,11.2434347557746,0.0446173896014637,0.23860604004261
"s__Anaerotruncus_colihominis",1.81666146086278,8.44798302290904,0.054562820377741,0.279634454435923
"s__Eubacterium_hallii",0.71500104481976,14.9498547027845,0.0571939759169281,0.28068177554811
"s__Phascolarctobacterium_faecium",1.74022126815646,7.97860651215609,0.0593311070264297,0.28068177554811
"s__Bacteroides_faecis",2.15761488489691,12.0379838852115,0.062521756879601,0.28482133689596
"s__Bifidobacterium_pseudocatenulatum",1.62503808199443,14.1521697993942,0.0712461819059369,0.304524594540877
"s__Bilophila_wadsworthia",1.62119123183874,7.66281956760513,0.0717984816397189,0.304524594540877
"s__Ruminococcus_torques",0.799778404948118,15.3131151353888,0.0784680465825211,0.321718990988337
"s__Bifidobacterium_animalis",1.95964305438543,10.9569303240096,0.083965005541705,0.324747674106654
"s__Monoglobus_pectinilyticus",1.56478365500331,12.5044675993293,0.08460257757077,0.324747674106654
"s__Haemophilus_parainfluenzae",1.39902113928169,4.02308547555369,0.0898150746121733,0.324747674106654
"s__Bacteroides_massiliensis",1.80091998896045,8.85303501715541,0.0905970019246704,0.324747674106654
"s__Proteobacteria_bacterium_CAG_139",-1.73378636198964,10.3422791685355,0.0937172537114393,0.324747674106654
"s__Oscillibacter_sp_CAG_241",-1.50120622304062,8.96373010871988,0.095048099738533,0.324747674106654
"s__Dorea_longicatena",0.664494611056651,15.6542850216783,0.100471935343228,0.334001298573433
"s__Intestinimonas_butyriciproducens",1.54618609707792,7.14506627436331,0.1102513944309,0.356866355657912
"s__Parabacteroides_distasonis",1.23884587896452,13.0970582605142,0.117319391201628,0.370007310712828
"s__Bacteroides_cellulosilyticus",-1.65220337274801,11.6186864280322,0.122450676759807,0.376535831036407
"s__Bifidobacterium_adolescentis",-0.838615371346841,16.0749441711011,0.143170217707278,0.429510653121834
"s__Eubacterium_rectale",-0.761336097858064,15.3961484249284,0.153834873293964,0.445234754147028
"s__Bacteroides_vulgatus",0.779417687621037,15.4856134501617,0.162301483419724,0.445234754147028
"s__Lactobacillus_rogosae",-1.1071327953552,4.40179018480103,0.164710089533786,0.445234754147028
"s__Blautia_sp_CAG_257",1.57548176130646,11.7326878131572,0.166388802495475,0.445234754147028
"s__Clostridium_spiroforme",1.14939805223636,8.02127847282843,0.16996345624053,0.445234754147028
"s__Eubacterium_ramulus",1.04585853965925,10.7686736874743,0.170130353210653,0.445234754147028
"s__Clostridium_symbiosum",1.30134803314422,9.09626105179056,0.201005430899506,0.507213370797699
"s__Agathobaculum_butyriciproducens",0.934518524703948,11.5130661802271,0.202060611130791,0.507213370797699
"s__Prevotella_copri",1.46195847856319,12.4326465162231,0.22218432928202,0.546573450033768
"s__Romboutsia_ilealis",-0.845651140809442,3.24136729370524,0.23236382689945,0.560406876639851
"s__Coprococcus_comes",0.542841667239494,15.256736445808,0.260886567669398,0.605789095910144
"s__Blautia_obeum",0.547698573316295,14.8294952594886,0.264302330287723,0.605789095910144
"s__Oscillibacter_sp_57_20",-0.828505154883844,9.48605781053004,0.265956188448356,0.605789095910144
"s__Roseburia_faecis",-0.748016767264755,14.5780323864076,0.275771916725375,0.607192777339486
"s__Bacteroides_fragilis",0.902537959585645,13.5359375552752,0.279746625319079,0.607192777339486
"s__Ruthenibacterium_lactatiformans",0.635956353379015,12.503494850363,0.28506235139907,0.607192777339486
"s__Akkermansia_muciniphila",-0.989584202742745,12.4533452875947,0.286318545412115,0.607192777339486
"s__Turicibacter_sanguinis",-0.948490756577399,8.27331342524151,0.297941217171204,0.6129051869845
"s__Sellimonas_intestinalis",1.03259839981297,10.7406454517173,0.306223138424637,0.6129051869845
"s__Streptococcus_salivarius",-0.737358251849364,9.58376247559556,0.306649881003038,0.6129051869845
