"","+samples in group 0","+samples in group 1","counts in group 0","counts in group 1","oddsRatio","lower","upper","fisherP","fisherAdjP","logFC","se","pvalues","adjPvalues"
"s__Parabacteroides_goldsteinii",4,4,536093,6387,1,0.168856502148237,5.92218829170173,1,1,-2.24595158080203,1.3803859087297,0.103727296219896,0.971223583969656
"s__Christensenella_minuta",2,8,766,31970,0.206260523692966,0.0196557892900602,1.16262453680535,0.0824351793626884,1,2.19823729330212,1.54079975499037,0.153670450121522,0.971223583969656
"s__Clostridium_bolteae",4,8,3710,100096,0.436516450028707,0.0855925850697711,1.86823385514475,0.338897396311006,1,2.03813911222055,1.08776897507958,0.0609735122569393,0.871643596027039
"s__Eisenbergiella_massiliensis",1,8,92629,364129,0.100628603372795,0.00214090011488041,0.832991012723171,0.0268407891080856,1,1.84012191806277,0.781544623704539,0.0185492336486066,0.724170604628939
"s__Methanobrevibacter_smithii",4,3,114843,8547,1.37262431954402,0.211871093618264,10.1954588401875,1,1,-1.70095195333737,1.44161888806517,0.238043900448984,0.971223583969656
"s__Eubacterium_sp_CAG_38",14,8,42345,7697,2.27319249694474,0.715528549123655,7.66535996771025,0.191189182099499,1,-1.58783865567623,0.684959139579808,0.0204411206505546,0.724170604628939
"s__Eubacterium_eligens",18,16,155458,78071,1.27029074577599,0.435580212209198,3.74233981536721,0.805706926851037,1,-1.56681293354888,0.620094892552485,0.011512967625847,0.724170604628939
"s__Ruminococcus_bromii",31,31,3283871,2060210,1,0.0684760891341722,14.6036377463174,1,1,-1.54463225711579,0.68214117077074,0.0235502635651688,0.724170604628939
"s__Anaerotruncus_colihominis",12,11,15393,49839,1.14054394753791,0.368340446186262,3.56050267272597,1,1,1.3849137561748,0.739890187730834,0.0612366533926887,0.871643596027039
"s__Ruminococcus_callidus",10,7,31172,10827,1.60316327285935,0.46205440386939,5.85483182241261,0.57433723866251,1,-1.3488802823588,0.827023715339394,0.102889145206098,0.971223583969656
"s__Clostridium_disporicum",11,7,141464,71259,1.83973892377328,0.541666210425317,6.64033167703665,0.407546932179249,1,-1.32916736482797,0.889762206611707,0.135215977633935,0.971223583969656
"s__Bacteroides_faecis",6,8,146222,612861,0.698298960485503,0.173119785115454,2.66985065243394,0.764248316797698,1,1.32222091776656,0.912233252358727,0.147216717425465,0.971223583969656
"s__Intestinimonas_butyriciproducens",4,7,6393,42213,0.517488899286294,0.0992727677436585,2.31491472194247,0.510529803037956,1,1.27210176502352,1.00050920462983,0.20356706330611,0.971223583969656
"s__Blautia_sp_CAG_257",6,10,333612,333105,0.516344224881036,0.132331001049618,1.85564874091208,0.389433957719529,1,1.16904508062529,1.28186736869116,0.361776092966907,0.971223583969656
