"","microbe","Comparison","deseq_LFC","deseq_padj","M2_coef","M2_padj","Num_not_zero"
"1","1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis","StatusTS",0.0536756409239503,0.999019755834011,5.40143122882064,0.822592578646099,66
"2","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation","StatusTS",0,NA,0.0347860019660401,0.870417125645731,1
"3","7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)","StatusTS",-0.226606918897138,0.999019755834011,-0.00796542883711238,0.970243782604118,8
"4","AEROBACTINSYN-PWY: aerobactin biosynthesis","StatusTS",0.117269555403332,0.999019755834011,0.00242633578960182,0.966086790437004,2
"5","ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast","StatusTS",0.657294655525041,0.999019755834011,0.131392180709121,0.822592578646099,14
"6","ANAEROFRUCAT-PWY: homolactic fermentation","StatusTS",-0.153766472904457,0.999019755834011,-4.04530660788814,0.725321598661729,66
"7","ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)","StatusTS",-0.0942846645039699,0.999019755834011,-2.73786688157583,0.871348227380066,66
"8","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis","StatusTS",-0.0904420540374797,0.999019755834011,-0.0556899454536038,0.989591943021145,50
"9","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","StatusTS",1.80209686711446,0.999019755834011,0.112147368089259,0.696431059188311,6
"10","ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis","StatusTS",-0.0543256036493085,0.999019755834011,0.418687700105957,0.966539190963894,64
"11","ARGORNPROST-PWY: arginine, ornithine and proline interconversion","StatusTS",-0.0828723905196571,0.999019755834011,-0.725096636136628,0.875753318051511,58
"12","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)","StatusTS",0.0149780026488608,0.999019755834011,2.704005841243,0.918849318345177,66
"13","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)","StatusTS",0.0470927767852194,0.999019755834011,5.4101241165558,0.871348227380066,66
"14","ARO-PWY: chorismate biosynthesis I","StatusTS",0.0113564061654406,0.999019755834011,3.91783512739512,0.882817252697782,66
"15","ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis","StatusTS",0.123779816362701,0.999019755834011,3.97151767542734,0.730764313727201,66
"16","AST-PWY: L-arginine degradation II (AST pathway)","StatusTS",-1.68006249516886,0.999019755834011,-0.01634303920364,0.956414416885108,9
"17","BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I","StatusTS",-0.143502148542702,0.999019755834011,-0.386842031787998,0.935415381722467,63
"18","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis","StatusTS",-0.0587688194361793,0.999019755834011,-0.498467221078916,0.973409537787952,66
"19","CALVIN-PWY: Calvin-Benson-Bassham cycle","StatusTS",0.126215139513439,0.999019755834011,8.50982626826836,0.79583003639674,66
"20","CENTFERM-PWY: pyruvate fermentation to butanoate","StatusTS",-0.0252486639542614,0.999019755834011,-0.258634635557062,0.935415381722467,63
"21","CITRULBIO-PWY: L-citrulline biosynthesis","StatusTS",0.109305930456887,0.999019755834011,1.37079817219741,0.89748141102943,64
"22","COA-PWY-1: coenzyme A biosynthesis II (mammalian)","StatusTS",0.0260233877204578,0.999019755834011,5.08154218681264,0.870417125645731,66
"23","COA-PWY: coenzyme A biosynthesis I","StatusTS",0.0347494294597415,0.999019755834011,5.03071622953208,0.870417125645731,66
"24","COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I","StatusTS",0.244631790137215,0.999019755834011,12.5225759443678,0.635868874722512,66
"25","COLANSYN-PWY: colanic acid building blocks biosynthesis","StatusTS",-0.0397432403142663,0.999019755834011,0.31568408044092,0.959474582872214,66
"26","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis","StatusTS",0.0293008666248221,0.999019755834011,5.2855933484986,0.870417125645731,66
"27","CRNFORCAT-PWY: creatinine degradation I","StatusTS",-1.69332839888647,0.999019755834011,-0.030955845609793,0.938310269505169,10
"28","DAPLYSINESYN-PWY: L-lysine biosynthesis I","StatusTS",-0.191740622654381,0.999019755834011,-3.24458284814529,0.870417125645731,66
"29","DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II","StatusTS",-0.184232056328579,0.999019755834011,-3.47192157698165,0.79583003639674,66
"30","DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I","StatusTS",-0.00812411744908249,0.999019755834011,2.95211496923665,0.918849318345177,66
"31","ECASYN-PWY: enterobacterial common antigen biosynthesis","StatusTS",1.89100811375797,0.999019755834011,0.02571859890479,0.891481215600573,5
"32","ENTBACSYN-PWY: enterobactin biosynthesis","StatusTS",-1.35289183620034,NA,0.00299936463790661,0.999999999999998,6
"33","FAO-PWY: fatty acid &beta;-oxidation I","StatusTS",0.0477455020384171,0.999019755834011,0.871493741649401,0.731521821548287,37
"34","FASYN-ELONG-PWY: fatty acid elongation -- saturated","StatusTS",-0.223313920248558,0.999019755834011,-0.986446484153752,0.871348227380066,63
"35","FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)","StatusTS",-0.186308462567126,0.999019755834011,-0.403791927416015,0.956414416885108,64
"36","FERMENTATION-PWY: mixed acid fermentation","StatusTS",-0.252700601216259,0.999019755834011,-1.97046425681878,0.818822096499768,65
"37","FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage","StatusTS",0.205729019039661,0.999019755834011,0.646555343502892,0.932971011379235,56
"38","FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation","StatusTS",0.148688717931362,0.999019755834011,1.25460142457797,0.818822096499768,63
"39","FUCCAT-PWY: fucose degradation","StatusTS",0.309645079578543,0.999019755834011,1.68075035361633,0.635868874722512,65
"40","GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation","StatusTS",-0.0985366011089537,0.999019755834011,-0.416891795688894,0.935415381722467,66
"41","GALACTARDEG-PWY: D-galactarate degradation I","StatusTS",-0.236625300175025,0.999019755834011,-0.176043162707529,0.918849318345177,39
"42","GALACTUROCAT-PWY: D-galacturonate degradation I","StatusTS",-0.112517437766889,0.999019755834011,-0.505718867967282,0.918849318345177,66
"43","GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","StatusTS",0.232890439849838,0.999019755834011,5.12823693838544,0.74282799012443,66
"44","GLUCARDEG-PWY: D-glucarate degradation I","StatusTS",-0.00948291220977921,0.999019755834011,-0.0576162613741512,0.966539190963894,36
"45","GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation","StatusTS",-0.236625300175025,0.999019755834011,-0.176043162707529,0.918849318345177,39
"46","GLUCONEO-PWY: gluconeogenesis I","StatusTS",-0.146970830234038,0.999019755834011,-2.63967119444081,0.818822096499768,66
"47","GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation","StatusTS",-0.246452029978969,0.999019755834011,-0.739619731053974,0.944701600214379,59
"48","GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation","StatusTS",-0.212194049899506,0.999019755834011,-1.16754509539575,0.880714218806451,66
"49","GLUDEG-I-PWY: GABA shunt","StatusTS",-0.778116822528291,0.999019755834011,-0.749236841332551,0.659949887203748,48
"50","GLUTORN-PWY: L-ornithine biosynthesis","StatusTS",0.0803308958716075,0.999019755834011,8.04046969560408,0.870417125645731,66
"51","GLYCOCAT-PWY: glycogen degradation I (bacterial)","StatusTS",-0.195363563586858,0.999019755834011,-0.651893724862487,0.970243782604118,59
"52","GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)","StatusTS",0.1616124128992,0.999019755834011,11.527880004983,0.659949887203748,66
"53","GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation","StatusTS",-1.54930566236244,0.999019755834011,0.0117104217650974,0.938445012297723,11
"54","GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff","StatusTS",-0.386487095774686,0.999019755834011,-3.323655892151,0.491323969134853,65
"55","GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","StatusTS",0.510426639147019,0.999019755834011,0.321041349327714,0.908799535041267,20
"56","GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)","StatusTS",-0.260624048690981,0.999019755834011,-6.07190981370669,0.635868874722512,66
"57","GLYOXYLATE-BYPASS: glyoxylate cycle","StatusTS",0.353538277804387,0.999019755834011,0.16439548420512,0.889195785248179,28
"58","GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol","StatusTS",0.295825819229491,0.999019755834011,2.19005084764888,0.652913458013989,66
"59","HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","StatusTS",-1.7315244881813,0.999019755834011,-0.00525895693140229,0.980290251729823,4
"60","HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)","StatusTS",-0.00313336128271704,0.999019755834011,-0.00188061396767975,0.999999999999998,40
"61","HEMESYN2-PWY: heme biosynthesis II (anaerobic)","StatusTS",0.0867135181014539,0.999019755834011,0.156488464557776,0.930930187459637,51
"62","HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)","StatusTS",-0.0122482583998639,0.999019755834011,0.774098528290145,0.939284106046577,65
"63","HISDEG-PWY: L-histidine degradation I","StatusTS",-0.222248924882161,0.999019755834011,-1.42415677354424,0.870417125645731,65
"64","HISTSYN-PWY: L-histidine biosynthesis","StatusTS",-0.109240188992769,0.999019755834011,-3.2374926063196,0.871348227380066,66
"65","HOMOSER-METSYN-PWY: L-methionine biosynthesis I","StatusTS",0.0574040150982811,0.999019755834011,0.972823659931136,0.918849318345177,66
"66","HSERMETANA-PWY: L-methionine biosynthesis III","StatusTS",0.0967858100542591,0.999019755834011,6.94787329683361,0.79583003639674,66
