"clade_name","clade_taxid","TS8S","TS8","TS7S","TS7","TS5S","TS5","TS55S","TS55","TS54S","TS54","TS53S","TS53","TS52S","TS52","TS51S","TS51","TS50S","TS50","TS4S","TS4","TS42S","TS42","TS41S","TS41","TS40S","TS40","TS3S","TS3","TS38S","TS38","TS35S","TS35","TS32S","TS32","TS31S","TS31","TS30S","TS30","TS29S","TS29","TS28S","TS28","TS27S","TS27","TS26S","TS26","TS24S","TS24","TS22S","TS22","TS20S","TS20","TS18S","TS18","TS17S","TS17","TS16S","TS16","TS14S","TS14","TS13S","TS13","TS12S","TS12","TS11S","TS11"
"s__Methanobrevibacter_smithii","2157|28890|183925|2158|2159|2172|2173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52327,0,0,0,0,0,3724,5262,0,0,0,0,0,0,0,0,57775,0,0,0,0,2553,0,0,0,0,0,0
"s__Actinobaculum_sp_oral_taxon_183","2|201174|1760|2037|2049|76833|712888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0
"s__Actinomyces_johnsonii","2|201174|1760|2037|2049|1654|544581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_naeslundii","2|201174|1760|2037|2049|1654|1655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_odontolyticus","2|201174|1760|2037|2049|1654|1660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_oris","2|201174|1760|2037|2049|1654|544580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0
"s__Actinomyces_sp_HMSC035G02","2|201174|1760|2037|2049|1654|1739406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_sp_HPA0247","2|201174|1760|2037|2049|1654|1203556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_sp_ICM47","2|201174|1760|2037|2049|1654|936548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Actinomyces_sp_oral_taxon_448","2|201174|1760|2037|2049|1654|712124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,0,0,0
"s__Actinomyces_turicensis","2|201174|1760|2037|2049|1654|131111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,1606,0,0,0,0,0,0,0,0,0,145,0,0,6488,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Varibaculum_cambriense","2|201174|1760|2037|2049|184869|184870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Bifidobacterium_adolescentis","2|201174|1760|85004|31953|1678|1680",18020,302513,106645,23050,769012,695777,251633,2530,370355,95140,186485,677,121516,228,456302,392315,1105612,524,71490,836,1632,1655,33253,29681,1166,65826,641325,23071,1196,2752,75481,207674,7844,58106,238205,66829,95501,338101,341462,6442,807281,31499,151114,139586,354507,1124147,39874,71022,1250,777,10261,39188,163035,239571,243774,147940,555,1244,1392663,127956,229006,141918,1262,20421,46215,1277
"s__Bifidobacterium_angulatum","2|201174|1760|85004|31953|1678|1683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Bifidobacterium_animalis","2|201174|1760|85004|31953|1678|28025",0,0,0,0,0,0,0,0,39158,0,0,0,0,0,0,0,0,69311,0,0,0,52468,0,0,0,0,4924,0,0,0,0,0,16448,434,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,65228,0,0,0,0,0,3525,0,0,0,0,90326,142185,0,0,123,0
"s__Bifidobacterium_bifidum","2|201174|1760|85004|31953|1678|1681",0,0,59,0,164868,177841,248,217,394,102522,516,466,45588,0,264115,325856,0,0,0,0,25,80,0,54081,0,0,0,0,0,243,113229,0,0,0,0,0,0,42065,0,0,0,27873,0,0,80,316429,54171,0,0,0,0,0,58763,86835,281,0,85813,0,142704,65511,139344,34056,253635,0,0,0
