feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Methanobrevibacter_smithii	Status	TS	-52.2671078589197	33.8391707223323	63	7	0.127707749722485	0.810916985947485
s__Bifidobacterium_adolescentis	Status	TS	-1947.64225569336	787.558101622608	63	63	0.0162478170689761	0.810916985947485
s__Bifidobacterium_adolescentis	Sex	M	1371.44973742866	798.937239642007	63	63	0.0912125848621839	0.810916985947485
s__Bifidobacterium_animalis	Status	TS	82.7250688846036	69.2045837027848	63	11	0.236645892906498	0.810916985947485
s__Bifidobacterium_bifidum	Status	TS	-341.038772427874	230.658495951007	63	29	0.144493103533619	0.810916985947485
s__Bifidobacterium_bifidum	Sex	M	353.223987950901	233.991195919893	63	29	0.136403965255833	0.810916985947485
s__Bifidobacterium_catenulatum	Status	TS	-113.206665431708	71.4043445295213	63	14	0.118125314020125	0.810916985947485
s__Bifidobacterium_longum	Sex	M	559.299823784066	511.715990861729	63	63	0.27876776208451	0.810916985947485
s__Bifidobacterium_pseudocatenulatum	Status	TS	248.229474104437	176.2728280792	63	45	0.164229016390091	0.810916985947485
s__Collinsella_aerofaciens	Status	TS	-319.24793308452	254.725721719535	63	57	0.214958289471456	0.810916985947485
s__Asaccharobacter_celatus	Status	TS	-51.8278436349435	31.0348487172144	63	56	0.10013116201805	0.810916985947485
s__Asaccharobacter_celatus	Sex	M	38.2332745473494	31.4832598582296	63	56	0.229353016488834	0.810916985947485
s__Bacteroides_cellulosilyticus	Sex	M	85.9168274984612	64.9876556375144	63	20	0.191170170991956	0.810916985947485
s__Bacteroides_dorei	Status	TS	-299.4826057541	249.710530758164	63	31	0.235118769577931	0.810916985947485
s__Bacteroides_eggerthii	Status	TS	218.160353257185	164.648339683178	63	8	0.190192565589839	0.810916985947485
s__Bacteroides_eggerthii	Sex	M	-297.725767564797	167.027283126283	63	8	0.0797275246910851	0.810916985947485
s__Bacteroides_fragilis	Status	TS	-773.060201770507	645.226151693594	63	45	0.235580573073452	0.810916985947485
s__Bacteroides_uniformis	Status	TS	-580.818226803244	456.944781459474	63	63	0.208602279959247	0.810916985947485
s__Bacteroides_vulgatus	Status	TS	644.536185789793	459.029361153626	63	62	0.165435885285321	0.810916985947485
s__Bacteroides_xylanisolvens	Sex	M	325.520901269021	254.120667327688	63	37	0.205133472788351	0.810916985947485
s__Barnesiella_intestinihominis	Sex	M	-186.421360227495	97.6936865965514	63	27	0.0611503078706884	0.810916985947485
s__Prevotella_copri	Sex	M	-177.503845184703	155.580492061823	63	8	0.258439482215066	0.810916985947485
s__Alistipes_indistinctus	Sex	M	-22.4885513645732	15.3534947580209	63	11	0.148218104121331	0.810916985947485
